Timestamp,Temperature,Voltage
Thu Feb 26 10:39:06 2026,180,0.006746
Thu Feb 26 10:46:06 2026,181,0.006609
Thu Feb 26 10:53:07 2026,182,0.008771
Thu Feb 26 11:00:07 2026,183,0.011671
Thu Feb 26 11:07:07 2026,184,0.013501
Thu Feb 26 11:14:08 2026,185,0.013256
Thu Feb 26 11:21:08 2026,186,0.010315
Thu Feb 26 11:28:08 2026,187,0.008929
Thu Feb 26 11:35:08 2026,188,0.016794
Thu Feb 26 11:42:09 2026,189,0.041786
Thu Feb 26 11:49:09 2026,190,0.087997
Thu Feb 26 11:56:09 2026,191,0.150100
Thu Feb 26 12:03:10 2026,192,0.211000
Thu Feb 26 12:10:10 2026,193,0.253440
Thu Feb 26 12:17:10 2026,194,0.249690
Thu Feb 26 12:24:10 2026,195,0.217320
Thu Feb 26 12:31:11 2026,196,0.164630
Thu Feb 26 12:38:11 2026,197,0.113660
Thu Feb 26 12:45:11 2026,198,0.078131
Thu Feb 26 12:52:12 2026,199,0.061435
Thu Feb 26 12:59:12 2026,200,0.054659
Thu Feb 26 13:06:12 2026,200,0.048355
Thu Feb 26 13:13:12 2026,200,0.047867
Thu Feb 26 13:20:13 2026,200,0.047419
Thu Feb 26 13:27:13 2026,200,0.047517
