Timestamp,Temperature,Voltage
Fri Feb 27 10:51:20 2026,180,0.021922
Fri Feb 27 10:58:20 2026,180,0.020202
Fri Feb 27 11:05:20 2026,181,0.033836
Fri Feb 27 11:12:21 2026,182,0.052497
Fri Feb 27 11:19:21 2026,183,0.064111
Fri Feb 27 11:26:21 2026,184,0.056340
Fri Feb 27 11:33:22 2026,185,0.039064
Fri Feb 27 11:40:22 2026,186,0.037182
Fri Feb 27 11:47:22 2026,187,0.102010
Fri Feb 27 11:54:22 2026,188,0.277600
Fri Feb 27 12:01:23 2026,189,0.580590
Fri Feb 27 12:08:23 2026,190,0.964900
Fri Feb 27 12:15:23 2026,191,1.322900
Fri Feb 27 12:22:24 2026,192,1.536000
Fri Feb 27 12:29:24 2026,193,1.528100
Fri Feb 27 12:36:24 2026,194,1.307800
Fri Feb 27 12:43:24 2026,195,0.973210
Fri Feb 27 12:50:25 2026,196,0.658860
Fri Feb 27 12:57:25 2026,197,0.447770
Fri Feb 27 13:04:25 2026,198,0.365160
Fri Feb 27 13:11:26 2026,199,0.334300
Fri Feb 27 13:18:26 2026,200,0.291460
Fri Feb 27 13:25:26 2026,200,0.288940
