Timestamp,Temperature,Voltage
Mon Feb  2 18:55:38 2026,180.03,0.029389
Mon Feb  2 19:02:38 2026,181.02,0.046078
Mon Feb  2 19:09:38 2026,182.31,0.063222
Mon Feb  2 19:16:39 2026,183.16,0.066864
Mon Feb  2 19:30:39 2026,185.11,0.037901
Mon Feb  2 19:44:40 2026,187.01,0.12518
Mon Feb  2 19:51:40 2026,188.17,0.375
Mon Feb  2 19:58:41 2026,189.48,0.56221
Mon Feb  2 20:05:41 2026,190.0,0.84314
Mon Feb  2 20:12:41 2026,191.09,1.0427
Mon Feb  2 20:19:42 2026,192.09,1.1096
Mon Feb  2 20:26:42 2026,193.16,0.97475
Mon Feb  2 20:33:42 2026,194.03,0.72673
Mon Feb  2 20:40:43 2026,195.13,0.44113
Mon Feb  2 20:47:43 2026,196.09,0.19799
Mon Feb  2 20:54:43 2026,197.01,0.082879
Mon Feb  2 21:01:44 2026,198.1,0.07598
Mon Feb  2 21:08:44 2026,199.17,0.088282
Mon Feb  2 21:15:45 2026,200.0,0.086962
